acaspe	Acarospora_spec
agyruf	Agyrium_rufum
artrad	Arthonia_radiata
aurpul	Aureobasidium_pullulans
botcon	Botyris_cinerea
capcor	Capronia_coronata
cerpla	Ceratocystis_platani
cetlin	Cetradonia_linearis
clagra	Cladonia_grayi
clamac	Cladonia_macilenta
clamet	Cladonia_metacorallifera
claunc	Cladonia_uncialis
clacar	Cladophialophora_carrionii
colgra	Colletotrichum_graminicola
conlus	Coniella_lustricola
conlig	Coniochaeta_ligniaria
cyaast	Cyanodermella_asteris
dialon	Diaporthe_longicolla
dibbae	Dibaeis_baeomyces
elagra	Elaphomyces_granulatus
endpus	Endocarpon_pusillum
epityp	Epichloe_typhina
erynec	Erysiphe_necator
evepru	Evernia_prunastri
fonere	Fonsecaea_erecta
fusoxy	Fusarium_oxysporum
gomame	Gomphillus_americanus
grascr	Graphis_scripta
gyafla	Gyalolechia_flavorubescens
helgri	Helicocarpus_griseus
hypsca	Hypocenomyce_scalaris
hyppul	Hypoxylon_pulicicidum
icmeri	Icmadophila_ericetorum
knupet	Knufia_petricola
lamins	Lambiella_insularis
lashis	Lasallia_hispanica
laspus	Lasallia_pustulata
lecsca	Lecidea_scabridula
ligatr	Lignoscripta_atroalba
lobimm	Lobaria_immixta
loxcis	Loxospora_cismonica
maggri	Magnaporthe_grisea
malcin	Malbranchea_cinnamomea
monpur	Monascus_purpureus
mycsan	Mycoblastus_sanguinarius
onycor	Onygena_corvina
penchr	Penicillium_chrysogenum
phachl	Phaeomoniella_chlamydospora
phiatt	Phialophora_attae
phycit	Phyllosticta_citricarpa
pelleu	Peltigera_leucophlebia
podans	Podospora_anserina
psefur	Pseudevernia_furfuracea
pseaur	Pseudocyphellaria_aurata
pseole	Pseudophaeomoniella_oleicola
ptyxyl	Ptychographa_xylographoides
putexs	Puttea_exsequens
ramint	Ramalina_intermedia
ramper	Ramalina_peruviana
schdol	Schaereria_dolodes
sormac	Sordaria_macrospora
stican	Sticta_canariensis
stiurc	Stictis_urceolatum
talcel	Talaromyces_cellulolyticus
thelep	Thelotrema_lepadinum
thecru	Thermoascus_crustaceus
thimus	Thielaviopsis_musarum
toeleu	Toensbergia_leucococca
tracoa	Trapelia_coarctata
triree	Trichoderma_reesei
umbmue	Umbilicaria_muehlenbergii
uncree	Uncinocarpus_reesii
varrho	Varicellaria_rhodocarpa
verdah	Verticillium_dahliae
xylgra	Xylaria_grammica
xylbjo	Xylographa_bjoerkii
xylcar	Xylographa_carneopallida
xylvit	Xylographa_vitiligo
xylope	Xylographa_opegraphella
xylpar	Xylographa_parallela
xylsor	Xylographa_soralifera
xyltru	Xylographa_trunciseda
xylpal	Xylographa_pallens
