cazyme,cell_hemi,lignin,pectin
AA3,1,0,0
AA9,1,0,0
CBM1,1,0,0
CBM13,1,0,0
CBM35,1,0,0
CBM6,1,0,0
CBM66,1,0,0
GH10,1,0,0
GH1,1,0,0
GH11,1,0,0
GH12,1,0,0
GH141,1,0,0
GH16,1,0,0
GH2,1,0,0
GH26,1,0,0
GH27,1,0,0
GH29,1,0,0
GH30,1,0,0
GH3,1,0,0
GH31,1,0,0
GH35,1,0,0
GH36,1,0,0
GH39,1,0,0
GH43,1,0,0
GH45,1,0,0
GH5,1,0,0
GH51,1,0,0
GH55,1,0,0
GH6,1,0,0
GH61,1,0,0
GH67,1,0,0
GH7,1,0,0
GH72,1,0,0
GH74,1,0,0
GH95,1,0,0
AA1,0,1,0
AA2,0,1,0
AA5,0,1,0
CE8,0,0,1
GH105,0,0,1
GH28,0,0,1
GH49,0,0,1
GH53,0,0,1
GH79,0,0,1
GH88,0,0,1
PL1,0,0,1
PL3,0,0,1
PL4,0,0,1
PL9,0,0,1
